EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
-40.83958,-7.21521,-18.22570,13.53436,-50.91772
-44.56427,-9.59307,-19.71552,10.64999,-55.03444
-46.85782,-24.32762,-27.67449,-1.14948,-55.77361
-38.22128,-28.40931,-28.12499,1.69179,-50.29371
-34.28461,-22.56604,-25.70043,13.58062,-49.45122
-40.96822,-22.98315,-19.92890,20.83114,-54.09124
-47.34877,-22.89600,-23.70109,17.47263,-57.97741
-53.88092,-23.76307,-33.84175,-0.36822,-65.62935
-50.28870,-27.67216,-32.31593,-9.37650,-63.07712
-37.67399,-31.44788,-28.54568,0.65941,-51.89758
-29.72628,-25.12116,-26.12766,15.04115,-47.75807
-31.02153,-12.90608,-27.44296,21.90914,-47.26748
-34.82277,-18.12974,-32.14010,17.33129,-43.99707
-27.33483,-29.63872,-35.14252,8.30329,-37.30552
-24.64306,-29.23703,-40.81354,-0.79134,-39.80826
-33.04707,-21.15973,-39.64671,-3.08329,-46.81693
-32.21323,-12.98136,-35.86441,-1.85342,-45.31866
-27.49976,-12.45213,-33.67100,-3.55004,-43.09480
-22.57121,-16.33371,-22.51575,5.15117,-34.99033
-21.95537,-25.51532,-17.44697,8.83315,-31.46853
-33.22942,-35.52344,-22.75004,-3.86996,-47.01947
-37.40287,-29.61226,-25.82960,-6.32207,-54.46783
-24.92590,-16.18223,-17.59168,4.38706,-37.52820
-9.29142,-8.12252,-2.98077,16.36437,-15.08921
-6.64216,-6.33010,-5.52157,13.93416,-12.90591
-12.27711,-7.58274,-14.51227,-4.96277,-21.74814
-12.52849,-7.35962,-12.61052,-9.57828,-16.62769
-8.40233,-7.70073,-4.90250,2.12267,-9.34975
-1.89354,-4.31144,1.46321,5.32869,-11.98207
-9.55681,-1.28040,-5.46256,-3.54442,-22.97542
-13.20258,-2.69568,-6.38358,-10.45467,-15.42824
-2.62923,-1.50772,0.40984,-5.59787,0.14903
-16.75725,-2.57655,-10.49666,3.49479,-22.67706
-30.88527,-3.64537,-21.40317,12.58745,-45.50315
-20.31192,-2.45741,-14.60974,17.44425,-29.92588
-23.95768,-3.87269,-15.53076,10.53400,-22.37870
-31.62096,-0.84166,-22.45653,1.66089,-33.37205
-25.11216,2.54763,-16.09083,4.86691,-36.00437
-20.98601,2.20653,-8.38280,16.56786,-28.72643
-21.23739,2.42965,-6.48105,11.95234,-23.60598
-26.87234,1.17701,-15.47175,-6.94459,-32.44821
