EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
15.39459,3.92997,2.73729,-12.89661,2.84761
26.34666,-4.75143,-6.17065,-26.35986,4.89053
13.76259,-16.71809,-13.25072,-18.09912,4.24581
16.54691,-4.39904,4.94093,-14.36866,6.93423
24.05128,2.58841,7.10533,-20.06427,6.69792
20.22913,-0.22829,-3.00106,-20.14411,3.58147
24.69464,1.68782,0.74505,-22.66523,5.00631
29.61607,2.87120,-0.26892,-25.99085,4.71494
21.87866,-0.74708,-0.75058,-18.88244,4.14846
13.92121,-5.73660,0.85110,-12.58672,5.19767
20.00222,-5.66375,-4.32873,-19.52510,4.55024
18.99284,-13.47480,-9.90876,-20.20389,4.99136
0.85553,-14.51641,-6.64221,-3.58814,3.18208
-9.27419,-10.68231,-6.26133,6.79271,-0.22080
2.96681,-18.99600,-14.44293,-6.09228,1.94386
12.91768,-13.82189,-4.80938,-13.50061,5.50219
-0.59374,-6.32469,5.83612,1.09579,3.93129
-4.63836,-5.97951,0.93367,3.77751,1.47340
9.15645,0.79418,7.33638,-7.99625,4.04090
8.78894,-1.80921,9.29850,-10.10124,6.18510
7.81786,-6.07586,-4.42760,-11.31871,3.30992
12.91745,-5.15234,-16.25367,-13.52871,-0.52338
3.09827,0.77910,-20.05510,-6.05418,-4.28362
-5.09356,10.64293,-9.47778,-2.93030,-3.56694
3.67709,9.92235,-3.82079,-11.10816,-0.09431
3.82828,10.33928,-12.72125,-6.81342,-3.83242
-11.65816,5.02396,-17.77910,5.74363,-5.66479
-7.53980,-0.24731,-13.11027,-2.78711,-0.82590
1.63945,12.92287,-1.08365,-6.68749,-1.24036
-21.39426,10.25456,-2.53657,15.53225,-5.05262
-30.15616,0.00708,-12.40631,22.17553,-5.27668
-7.34312,8.16850,-3.91804,8.44521,-4.18975
-2.50633,14.97631,2.92864,7.18384,-4.87511
-8.11540,10.86930,-2.61052,11.02108,-4.92721
-9.13239,4.61467,-2.83421,11.77703,-3.73981
-17.83057,8.20288,0.93392,18.95606,-5.38373
-17.43554,5.46629,-4.94929,19.48099,-5.12298
-5.71712,-3.36949,-14.50840,10.01338,-1.89243
-2.53058,-1.96648,-11.40589,7.58982,-1.17888
-1.79707,-6.81916,-11.39029,2.63153,1.40793
-0.09624,-5.27592,-15.60919,-10.25212,5.02807
-10.22807,1.43817,-7.16841,-10.22867,5.24824
-12.15500,-3.20470,-3.38454,1.19934,2.74293
6.13169,-0.65961,-6.75557,4.46023,-0.78064
6.50408,-0.83379,-5.37024,-3.42183,1.38091
-8.13272,-2.84964,2.28664,-8.33864,4.25126
-7.31571,-2.20308,12.13685,0.17543,0.73287
-8.49242,-13.49365,5.63234,13.03040,-0.63070
-21.27117,-16.49785,-8.11427,16.48238,1.71741
-20.25821,-10.99532,-7.59366,9.27507,2.71554
-3.18376,-4.26002,4.57074,-0.10571,0.68295
-2.34240,1.97559,16.80064,-4.83807,-0.87742
-13.51513,-3.42251,13.89537,-3.51072,0.99948
-9.65044,-3.88405,6.03936,6.15582,-0.75693
-10.83416,-7.35318,4.35821,16.83052,-2.75768
-24.79722,-16.92403,0.06332,19.83367,-0.10346
-26.34214,-13.30213,-3.61320,20.72798,0.06573
-16.45053,-9.68721,-9.75896,13.17963,1.67297
-12.90746,-4.14955,-12.39663,1.90410,4.05508
-26.02888,1.68974,-4.63429,14.97355,-0.06012
-34.15480,-2.41010,-1.40751,31.11098,-3.43930
-14.94980,-5.92108,4.02793,15.17169,-2.25934
-2.85641,-8.90962,13.81055,-0.39790,-1.43403
-20.58347,-7.21392,16.83997,6.03443,-1.99559
-29.88865,-1.06155,13.64507,4.29964,-1.13342
-10.63242,2.97870,8.50736,8.80033,-3.67820
1.99758,-0.92889,7.57444,23.61736,-8.55189
-10.48835,-8.84587,3.43356,15.12268,-2.88734
-15.92789,0.38843,1.15477,1.02275,1.31071
-8.66355,5.19599,7.74241,12.39357,-4.92828
-3.00454,-5.48417,7.29998,18.78562,-6.24543
0.17515,-1.04604,7.36702,4.18534,-3.02775
-9.71886,0.25900,4.99524,-3.90713,1.20968
-21.85220,-8.61661,-4.64452,2.18014,4.84953
-18.67808,-12.94331,-2.64986,5.99494,3.22932
